Rank,Ticker,Momentum_Score,Price_USD,Price_GBP,Shares_to_Buy,Allocation_GBP,Weight_Pct
1,AXP,8.175669408914834,357.55999755859375,268.56690443229354,16.13,4331.984168492894,4.331984168492895
2,MU,7.22254332333764,219.02000427246094,164.50812439264377,26.34,4333.143996502236,4.333143996502237
3,AMD,3.181435883125139,252.9199981689453,189.97075019871008,22.81,4333.2328120325765,4.333232812032577
4,KO,2.878861002931014,69.70999908447266,52.359880271637145,82.76,4333.30369128069,4.33330369128069
5,TMO,2.820692918697229,572.5,430.0104984822642,10.07,4330.2057197164,4.330205719716401
6,PEP,2.808686415670917,151.5500030517578,113.83072900834068,38.06,4332.397546057447,4.332397546057447
7,WFC,2.6483828493382813,86.41000366210938,64.90342139493087,66.76,4332.952412325585,4.332952412325585
8,CRM,2.422476748126459,254.8300018310547,191.4053731276998,22.63,4331.503593879846,4.331503593879846
9,GOOG,2.138248046125003,260.510009765625,195.6716841204121,22.14,4332.171086425924,4.332171086425924
10,MCD,2.025126863062347,305.7900085449219,229.68194586078198,18.86,4331.801498934348,4.3318014989343485
11,CAT,1.732996344885383,522.72998046875,392.62773707072733,11.03,4330.683939890122,4.330683939890122
12,BAC,1.6563266809020418,52.56999969482422,39.48585462704601,109.74,4333.177686772029,4.3331776867720295
13,RTX,1.3232680446874132,178.64999389648438,134.18580424328508,32.29,4332.859619015675,4.332859619015675
14,WMT,1.250441322224287,106.16999816894531,79.7453516794572,54.33,4332.56495674491,4.3325649567449105
15,MS,1.171840593626097,163.86000061035156,123.07689177949588,35.2,4332.306590638255,4.332306590638256
