Rank,Ticker,Momentum_Score,Current_Price,Shares_to_Buy,Allocation
1,AMD,3183.431013807118,234.55999755859375,28,6567.679931640625
2,MU,8.023100072072095,202.52999877929688,32,6480.9599609375
3,CAT,7.601046151080253,540.9600219726562,12,6491.520263671875
4,ORCL,4.514497183055797,313.0,21,6573.0
5,PEP,3.875611737441987,152.6699981689453,43,6564.809921264648
6,JNJ,2.0418077280525937,192.1199951171875,34,6532.079833984375
7,AVGO,1.8082577975834944,354.1499938964844,18,6374.699890136719
8,TMO,1.0953943196123064,536.780029296875,12,6441.3603515625
9,WMT,0.8593179247813278,106.47000122070312,62,6601.140075683594
10,LLY,0.8154371768278046,819.3800048828125,8,6555.0400390625
11,COST,0.8001114172301476,925.6199951171875,7,6479.3399658203125
12,KO,0.7953594944352012,67.58999633789062,98,6623.819641113281
13,UNH,0.6919672034963604,356.6700134277344,18,6420.060241699219
14,PG,0.3807022185517335,149.60000610351562,44,6582.4002685546875
15,DIS,0.34220531765804374,109.87999725341797,60,6592.799835205078
